Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,106638656.3,140963329,186082052.6,224142318.1,240526245,258266391.3,289283367.1,360876138.4,452587178.5,465573783.4,421799689.1,363200244.8,343845544.1,340685233.7,404888292.5,533981683.1,709820862,805732394.4,920224335.5,1034986953,1186353188,1142448950,1121336343,1138837198,1220621376,1294837544,1240329908,1235007161,1303211784,1423303230,1604710287,2030525385,2632874412,3252170267,3563604149,3755581209,3746213733,3776616822,3517456648,3340882831,3252452450,3284045462,,,
Afghanistan,AFG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5096483724,6146315479,6966901591,8679021178,9888574034,12797057339,14429902222,16559104982,21414554151,22369525251,21253739999,20363423839,
Angola,AGO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753612637,7947129762,5618110746,6094775110,10140075873,6954302805,5884768531,4733780195,6025315351,6139206267,6016189592,6085781588,5250936596,5903030554,6689607438,8219217928,10295835044,15242031579,20934437787,30253634835,45314865181,59978038501,71969654311,75707099273,82097216940,93811361002,1.1065E+11,1.16319E+11,1.04489E+11,
Albania,ALB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,2190743081,2332656938,2392371984,2534775243,2222566165,1371906619,969813375.4,1044129834,1289548193,2106321923,2920153389,2610446154,2830938585,3133570682,3599110959,4075316290,4299366514,5145317135,6508252686,8049507419,9233876611,10343305951,11947254619,12539577880,12709489034,12765821981,12658733936,12973151448,12883040678,12385693726,
United Arab Emirates,ARE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05599E+11,1.07623E+11,1.21688E+11,1.47126E+11,1.72049E+11,2.08704E+11,2.44203E+11,2.82945E+11,2.77731E+11,2.84364E+11,3.0794E+11,3.59304E+11,3.93029E+11,4.05607E+11,3.95321E+11,
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,24436915766,27307536127,30359663923,28316034740,28110534760,30585418435,31582381900,35775760457,36156762188,45649404334,62985567129,70261203396,61903679201,59112910992,59256732656,72112302463,82660225831,80146672085,74565387184,82329899841,84267616756,80453833078,92857323882,1.12638E+11,1.24116E+11,93730090347,1.0387E+11,1.31014E+11,2.11262E+11,2.41273E+11,2.60408E+11,2.56347E+11,2.72664E+11,2.90495E+11,2.89537E+11,2.76294E+11,2.75544E+11,2.60812E+11,1.48963E+11,1.36125E+11,1.37683E+11,1.80172E+11,2.17483E+11,2.60978E+11,3.09956E+11,3.17997E+11,3.81029E+11,4.4627E+11,4.99782E+11,5.46425E+11,5.30063E+11,5.41108E+11,
Armenia,ARM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063409747,1102754546,1314498886,1466393964,1641685571,1747584373,1825628018,1893112767,2025189581,2172390025,2441392029,2894719584,3506971033,4581813075,5963511556,8096070662,10463239024,9630072517,9986732951,10160340614,11192573497,11767482962,12083408959,11719042542,
American Samoa,ASM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,90980321.64,113586020,126367003.1,127857599.3,139346587.1,163337891.9,186673957.6,202104424.1,251535838.6,315657677.4,336221865.7,355379185.1,384257571,403912621.8,441925544.8,478104930.3,472691783.7,500600558,550676128.8,573512212.9,608547190.6,669635480.8,701756333,743500386.2,820152807.6,897801392.3,984119111.5,1118518801,1244442438,1279634525,1158097421,1100877796,1090010858,1144529534,1172319044,1210948820,1229017043,
