Country Name	Aruba	Andorra	Afghanistan	Angola	Albania	United Arab Emirates	Argentina	Armenia	American Samoa	Antigua and Barbuda	Australia	Austria	Azerbaijan	Burundi	Belgium	Benin	Burkina Faso	Bangladesh	Bulgaria	Bahrain	"Bahamas, The"	Bosnia and Herzegovina	Belarus	Belize	Bermuda	Bolivia	Brazil	Barbados	Brunei Darussalam	Bhutan	Botswana	Canada	Central Europe and the Baltics	Switzerland	Channel Islands	Chile	China	Cote d'Ivoire	Cameroon	"Congo, Rep."	Colombia	Comoros	Cabo Verde	Costa Rica	Caribbean small states	Cuba	Curacao	Cayman Islands	Cyprus	Czech Republic	Germany	Djibouti	Dominica	Denmark	Dominican Republic	Algeria	Ecuador	"Egypt, Arab Rep."	Eritrea	Spain	Estonia	Ethiopia	Finland	Fiji	France	Faroe Islands	"Micronesia, Fed. Sts."	Gabon	United Kingdom	Georgia	Ghana	Gibraltar	Guinea	"Gambia, The"	Guinea-Bissau	Equatorial Guinea	Greece	Grenada	Greenland	Guatemala	Guam	Guyana	"Hong Kong SAR, China"	Honduras	Croatia	Haiti	Hungary	Indonesia	Isle of Man	India	Ireland	"Iran, Islamic Rep."	Iraq	Iceland	Israel	Italy	Jamaica	Jordan	Japan	Kazakhstan	Kenya	Kyrgyz Republic	Cambodia	Kiribati	St. Kitts and Nevis	"Korea, Rep."	Kosovo	Kuwait	Lao PDR	Lebanon	Liberia	Libya	St. Lucia	Liechtenstein	Sri Lanka	Lesotho	Lithuania	Luxembourg	Latvia	"Macao SAR, China"	St. Martin (French part)	Morocco	Monaco	Moldova	Madagascar	Maldives	Mexico	Marshall Islands	"Macedonia, FYR"	Mali	Malta	Myanmar	Montenegro	Mongolia	Northern Mariana Islands	Mozambique	Mauritania	Mauritius	Malawi	Malaysia	Namibia	New Caledonia	Niger	Nigeria	Nicaragua	Netherlands	Norway	Nepal	Nauru	New Zealand	Oman	Pakistan	Panama	Peru	Philippines	Palau	Papua New Guinea	Poland	Puerto Rico	"Korea, Dem. People’s Rep."	Portugal	Paraguay	Pacific island small states	French Polynesia	Qatar	Romania	Russian Federation	Rwanda	Saudi Arabia	Sudan	Senegal	Singapore	Solomon Islands	Sierra Leone	El Salvador	San Marino	Somalia	Serbia	Sao Tome and Principe	Suriname	Slovak Republic	Slovenia	Sweden	Swaziland	Sint Maarten (Dutch part)	Seychelles	Syrian Arab Republic	Turks and Caicos Islands	Chad	Togo	Thailand	Tajikistan	Turkmenistan	Timor-Leste	Tonga	Trinidad and Tobago	Tunisia	Turkey	Tuvalu	Tanzania	Uganda	Ukraine	Uruguay	United States	Uzbekistan	St. Vincent and the Grenadines	"Venezuela, RB"	British Virgin Islands	Virgin Islands (U.S.)	Vietnam	Vanuatu	West Bank and Gaza	Samoa	"Yemen, Rep."	"Congo, Dem. Rep."	Zambia	Zimbabwe
Country Code	ABW	AND	AFG	AGO	ALB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	ECU	EGY	ERI	ESP	EST	ETH	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIB	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HKG	HND	HRV	HTI	HUN	IDN	IMN	IND	IRL	IRN	IRQ	ISL	ISR	ITA	JAM	JOR	JPN	KAZ	KEN	KGZ	KHM	KIR	KNA	KOR	KSV	KWT	LAO	LBN	LBR	LBY	LCA	LIE	LKA	LSO	LTU	LUX	LVA	MAC	MAF	MAR	MCO	MDA	MDG	MDV	MEX	MHL	MKD	MLI	MLT	MMR	MNE	MNG	MNP	MOZ	MRT	MUS	MWI	MYS	NAM	NCL	NER	NGA	NIC	NLD	NOR	NPL	NRU	NZL	OMN	PAK	PAN	PER	PHL	PLW	PNG	POL	PRI	PRK	PRT	PRY	PSS	PYF	QAT	ROU	RUS	RWA	SAU	SDN	SEN	SGP	SLB	SLE	SLV	SMR	SOM	SRB	STP	SUR	SVK	SVN	SWE	SWZ	SXM	SYC	SYR	TCA	TCD	TGO	THA	TJK	TKM	TLS	TON	TTO	TUN	TUR	TUV	TZA	UGA	UKR	URY	USA	UZB	VCT	VEN	VGB	VIR	VNM	VUT	PSE	WSM	YEM	COD	ZMB	ZWE
Indicator Name	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"	"Population, total"
Indicator Code	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL	SP.POP.TOTL
1960	54208	13414	8994793	5270844	1608800	92612	20619075	1867396	20012	54681	10276477	7047539	3897889	2786740	9153489	2431620	4829291	48200702	7867374	162501	109526	3214520	8198000	92068	44400	3693451	72493585	230934	81825	224108	524029	17909009	91401583	5327827	109419	7695692	667070000	3474724	5361367	1013581	16480384	188732	202316	1333042	4190810	7141129	124826	7867	572929	9602006	72814900	83636	60016	4579603	3294039	11124892	4545548	27072397	1407631	30455000	1211537	22151218	4429634	393383	46814237	34266	44539	499189	52400000	3645600	6652285	21529	3577413	367929	616407	252115	8331725	89861	32500	4127555	66741	564222	3075605	2002333	4140000	3866160	9983967	87792512	48441	449661874	2828600	21906905	7289759	175574	2114020	50199700	1629003	888632	92500572	9714260	8105440	2172300	5722370	41234	51197	25012374	947000	261962	2119944	1804927	1120314	1434576	89901	16504	9896000	851412	2778550	313970	2120979	171456	4279	12328534	22454	2544000	5099371	89875	38174114	14665	1488664	5263730	326550	21486424	480579	955514	10070	7493278	858170	659351	3618604	8160975	602545	79000	3395212	45211614	1774696	11486631	3581239	10056945	4433	2371800	551737	44911810	1132924	10061519	26273023	9638	1966957	29637450	2358000	11424179	8857716	1902871	865811	78083	47309	18406905	119897000	2933424	4086539	7527450	3177560	1646400	117869	2181701	2762897	15393	2756380		64255	289972	4068095	1584720	7484656	349233		41700	4592777	5724	3002596	1580513	27397178	2064035	1593501	499525	61600	848481	4220701	27553280	6104	10074490	6788211	42662150	2538651	180671000	8789492	80948	8146845	8036	32000	34743000	63701		108645	5166311	15248246	3049586	3752390
1961	55435	14376	9164945	5367287	1659800	100985	20953079	1934239	20478	55403	10483000	7086299	4030130	2840375	9183948	2466002	4894578	49593610	7943118	167924	115108	3277096	8271216	94701	45500	3764815	74706888	231674	85687	229297	536576	18271000	92237118	5434294	110399	7873504	660330000	3602075	5474509	1039966	16982313	191828	205958	1381920	4270928	7289828	126125	8026	576395	9586651	73377632	88499	61035	4611687	3406299	11404859	4676858	27810001	1441297	30739250	1225077	22671131	4461005	407152	47444751	34730	45956	504174	52800000	3703600	6866545	21797	3633778	376736	623413	255100	8398050	91260	33700	4240084	68073	582034	3168100	2069085	4171672	3943363	10029321	90138235	48353	458691457	2824400	22480420	7475354	179029	2185000	50536350	1651915	927850	94943000	10129861	8361442	2255900	5872247	42261	51195	25765673	966000	294639	2169287	1864605	1144896	1483856	90913	16894	10168000	866253	2823550	316845	2152681	175135	4453	12713043	22812	2605000	5223621	92327	39394125	15052	1507653	5322267	325250	21961594	491140	982180	10340	7643290	883223	680757	3700032	8429369	617282	81200	3493636	46144154	1830400	11638712	3609800	10215153	4675	2419700	564895	45988447	1167041	10350239	27164618	9901	2001048	29964000	2399722	11665593	8929316	1953331	894211	80706	51355	18555250	121236000	2996091	4218879	7749884	3265558	1702400	121403	2210169	2843246	15787	2814683		64549	298190	4191667	1594131	7519998	357522		42889	4742596	5760	3061423	1597528	28224208	2140413	1649914	508311	63740	865356	4277371	28229291	6242	10373380	7006629	43203635	2571691	183691000	9044671	82144	8461684	8157	34100	35428000	65708		112121	5251663	15637715	3142848	3876638
1962	56226	15376	9343772	5465905	1711319	112240	21287682	2002170	21118	56311	10742000	7129864	4167558	2894510	9220578	2503232	4960325	51030604	8012946	173107	121083	3341809	8351928	97389	46600	3838096	77007549	232584	89603	234703	549990	18614000	93014890	5573815	111463	8054166	665770000	3740503	5593768	1067611	17500166	194960	210866	1432583	4353408	7450404	128414	8142	577691	9624660	74025784	94200	61984	4647727	3521276	11690152	4812892	28560741	1476321	31023366	1241623	23221331	4491443	421576	48119649	35153	47387	509806	53250000	3760300	7085463	22133	3690960	383525	629973	257940	8448233	92424	35000	4356579	69607	600559	3305200	2139208	4202104	4022596	10061734	92558006	48580	468054145	2836050	23071426	7674220	182378	2293000	50879450	1678467	962783	95832000	10532062	8628973	2333400	6026696	43312	50966	26513030	994000	335161	2219964	1925276	1170267	1536196	92086	17298	10443000	881910	2863350	320750	2181586	181025	4566	13100843	23042	2664000	5352674	94909	40649590	15545	1527105	5381369	323900	22446690	502558	1011328	10541	7799396	909172	700349	3784444	8710678	632658	83400	3596613	47117859	1886560	11805689	3638918	10377061	4947	2482000	578825	47122931	1202372	10650672	28081234	10150	2037165	30308500	2450322	11871720	8993985	2005337	924223	83654	56187	18676550	122591000	3050596	4362863	7981797	3356421	1750200	125068	2239581	2927861	16197	2874944		64429	306330	4238188	1603649	7561588	365719		44042	4897428	5762	3122357	1612758	29081037	2223956	1708711	517446	66255	880019	4350811	28909985	6391	10683888	7240155	43749469	2603887	186538000	9319510	83206	8790590	8298	36300	36123000	67806		115786	5339285	16041247	3240664	4006262
1963	56697	16410	9531555	5565808	1762621	125216	21621845	2070427	21883	57368	10950000	7175811	4307315	2950903	9289770	2543335	5027818	52532595	8078145	178048	127331	3406466	8437232	100166	47700	3913397	79368453	233587	93650	240364	564316	18964000	93845749	5694247	112595	8237555	682335000	3889859	5719135	1096502	18033548	198205	216913	1484512	4435830	7618359	130860	8228	577912	9670685	74714353	100622	62920	4684483	3638628	11985130	4953735	29322709	1512671	31296651	1258857	23798378	4523309	436208	48803680	35550	48875	516270	53650000	3816100	7303432	22510	3749920	389070	636593	260990	8479625	93354	36400	4476923	71289	618887	3420900	2211144	4231408	4103732	10087947	95055669	49089	477729958	2852650	23680433	7888914	185653	2379000	51252000	1707019	1000506	96812000	10913552	8908425	2413700	6181137	44372	50533	27261747	1022000	381665	2272078	1984982	1196588	1592111	93397	17722	10582000	898342	2898950	324100	2210919	188703	4656	13488517	23169	2721000	5486593	97556	41939880	16111	1547445	5441611	322550	22947286	513409	1042383	10709	7961458	936014	718861	3872124	8999247	648668	85700	3703159	48128460	1943591	11965966	3666537	10544586	5231	2531800	593504	48312888	1238824	10961539	29016770	10381	2075630	30712000	2504530	12065470	9030355	2058916	955109	86839	61647	18797850	123960000	3102968	4516663	8223613	3450418	1795000	128863	2269890	3015885	16616	2937360		64181	314530	4282017	1616971	7604328	373991		45176	5057825	5741	3184775	1631763	29967043	2312193	1769008	526936	69000	892571	4436643	29597047	6542	11005882	7487411	44285897	2635128	189242000	9611601	84167	9130346	8455	38700	36836000	69962		119564	5429501	16461914	3342894	4140804
1964	57029	17470	9728645	5665701	1814135	138220	21953926	2138133	22701	58500	11167000	7223801	4445653	3011957	9378113	2586362	5098892	54129390	8144340	182774	133697	3468083	8524224	103070	48900	3990855	81751802	234547	97933	246324	579560	19325000	94722599	5789228	113778	8423614	698355000	4049675	5850454	1126602	18581972	201665	223854	1537035	4514432	7787149	133148	8299	578629	9727804	75318337	107584	63921	4722072	3757962	12295973	5099470	30094082	1550297	31609195	1277086	24396965	4548543	450452	49449403	35946	50483	523793	54000000	3870300	7513286	22894	3812004	394552	643962	264743	8510429	94066	37600	4600846	73048	635778	3504600	2282764	4259680	4186636	10119835	97638027	49818	487690114	2866550	24308080	8122200	188983	2475000	51675350	1734763	1050725	97826000	11267329	9200158	2495300	6329411	45424	49934	27984155	1050000	431366	2325742	2041212	1224094	1652294	94813	18170	10903000	915473	2935200	327750	2240623	197523	4748	13871988	23237	2774000	5625401	100177	43264267	16702	1569143	5503748	321250	23471163	521753	1074517	10901	8129268	963746	736381	3963424	9287442	665297	88100	3811813	49169819	2002119	12127120	3694339	10719988	5500	2585400	608889	49555472	1276274	11281015	29962877	10593	2116832	31139450	2554066	12282421	9035365	2114095	985870	90132	67487	18919126	125345000	3161719	4677409	8475765	3547939	1841600	132787	2301023	3106186	17033	3002173		64209	322995	4327341	1632114	7661354	382575		46322	5224579	5705	3247798	1662072	30881332	2401598	1829697	536798	71757	903272	4530835	30292969	6687	11339076	7746181	44794325	2665387	191889000	9917202	85076	9476255	8628	41300	37574000	72131		123354	5522690	16903899	3449266	4279561
1965	57360	18551	9935358	5765025	1864791	150318	22283389	2204650	23518	59653	11388000	7270889	4579759	3079034	9463667	2632360	5174869	55835020	8204168	187348	140049	3524596	8610000	106121	50100	4070590	84130061	235373	102525	252629	595741	19678000	95447065	5856472	114992	8612074	715185000	4219739	5987671	1157905	19144220	205412	231427	1589625	4586896	7951928	135266	8371	580971	9779358	75963695	114963	65038	4759012	3878952	12626953	5250120	30872982	1589187	31954292	1294566	25013551	4563732	463884	50023774	36363	52238	532512	54348050	3921600	7710547	23256	3877804	400865	652566	269427	8550333	94579	39200	4728203	74827	650379	3597900	2352637	4287000	4271133	10147935	100308896	50713	497920270	2877300	24955116	8375791	192286	2563000	52112350	1760000	1119798	98883000	11588870	9504702	2573300	6467196	46455	49211	28704674	1078000	482173	2381063	2092354	1252968	1717255	96303	18647	11164000	933251	2971450	331500	2265919	206910	4841	14248426	23283	2825000	5769219	102723	44623041	17283	1592434	5568485	318800	24023640	526327	1107125	11157	8302736	992368	753000	4058680	9569784	682553	90500	3921581	50238569	2062633	12294732	3723168	10905006	5738	2628400	625007	50848775	1314627	11607684	30913931	10782	2161103	31444950	2594000	12547524	8998595	2170853	1015764	93440	73543	19031576	126745000	3232937	4843635	8738703	3649308	1886900	136847	2332999	3197865	17440	3069558		64797	331799	4370983	1649160	7733853	391659		47500	5398333	5669	3310921	1708632	31822798	2489648	1890000	547035	74363	912419	4630000	31000167	6819	11683511	8014376	45261939	2694535	194303000	10233502	85972	9824694	8813	44000	38341000	74287		127068	5619170	17369859	3559687	4422132
1966	57712	19646	10148841	5863568	1914573	161077	22608747	2269475	24320	60818	11651000	7322066	4708485	3153879	9527807	2681382	5256363	57675529	8258057	191782	146364	3574972	8696496	109344	51000	4152665	86494987	236043	107450	259270	612950	20048000	96148635	5918002	116226	8802926	735400000	4400054	6130990	1190361	19721464	209536	239765	1642189	4653340	8110428	136682	8442	585311	9821040	76600311	122868	66305	4797381	4001377	12980269	5405692	31660914	1629333	32283194	1308597	25641176	4580869	476329	50508717	36804	54201	542562	54648500	3966700	7890992	23590	3948206	408182	662597	275470	8613651	94878	40500	4858880	76611	662332	3629900	2420234	4313000	4357482	10178653	103067352	51776	508402908	2888800	25624650	8651167	195570	2629000	52519000	1783125	1210948	99790000	11872939	9822505	2655300	6588993	47461	48355	29435571	1106000	533521	2437527	2136640	1283304	1787080	97877	19156	11439000	951736	3008050	333895	2283217	216873	4936	14617077	23304	2873000	5918060	105145	46010959	17840	1617797	5635859	315200	24606863	526419	1139960	11489	8482373	1021880	768813	4158132	9844116	700316	93500	4032210	51336375	2125233	12456251	3753012	11100672	5936	2675900	642005	52194629	1353805	11941327	31867565	10945	2208422	31681000	2624995	12864683	8930990	2229373	1044558	96730	79735	19215450	127468000	3319077	5015672	9013112	3754268	1934400	141027	2365801	3290397	17839	3144244		66057	341137	4411666	1669905	7807797	401295		48699	5579283	5629	3373563	1774029	32789097	2575335	1949425	557252	76787	919902	4731395	31718266	6935	12038886	8292747	45682314	2722874	196560000	10559050	86860	10175143	9009	47300	39142000	76410		130687	5720538	17861860	3674088	4568320
